rank,rise_amount,is_rising,artist_raw,artists,num_artists,title,genre,points,days,beatport_link
16,2,True,"MAX DEAN, LUKE DEAN, LOCKY (UK)",MAX DEAN | LUKE DEAN | LOCKY (UK),3,Can't Decide,DEEP HOUSE,9683,189,https://www.beatport.com/track/cant-decide/20515390
17,3,True,"CALVIN HARRIS, CLEMENTINE DOUGLAS",CALVIN HARRIS | CLEMENTINE DOUGLAS,2,Blessings,DANCE / POP,9601,132,https://www.beatport.com/track/blessings/20462394
18,4,True,"AUDIO BULLYS, CHRIS LORENZO, MAX STYLER",AUDIO BULLYS | CHRIS LORENZO | MAX STYLER,3,London's On Fire,TECH HOUSE,9283,154,https://www.beatport.com/track/londons-on-fire/20601589
19,5,True,"KATE LINN, PROVI, FANTOMEL",KATE LINN | PROVI | FANTOMEL,3,Dame Un Grrr (Provi Remix),AFRO HOUSE,9148,146,https://www.beatport.com/track/dame-un-grrr-provi-remix/21250305
20,5,True,FALLON (IE),FALLON (IE),1,Diet Coke,TECH HOUSE,8996,117,https://www.beatport.com/track/diet-coke/22095452
21,22,True,BRUNELLO,BRUNELLO,1,Ghost Dance,INDIE DANCE,8836,121,https://www.beatport.com/track/ghost-dance/23140771
22,5,True,"VANCO, AYA.SYSTEM",VANCO | AYA.SYSTEM,2,Ma Tnsani (Yalla Habibi) (feat. AYA.SYSTEM),AFRO HOUSE,8792,149,https://www.beatport.com/track/ma-tnsani-yalla-habibi-feat-ayasystem/20088037
23,0,False,"CHRIS LAKE, RAGIE BAN",CHRIS LAKE | RAGIE BAN,2,Toxic,TECH HOUSE,8520,138,https://www.beatport.com/track/toxic/20291674
24,8,True,SUPERNOVA,SUPERNOVA,1,Velvet Avenue,HOUSE,8452,134,https://www.beatport.com/track/velvet-avenue/22735704
25,3,True,VINTER (BR),VINTER (BR),1,Space Pump,HOUSE,8297,124,https://www.beatport.com/track/space-pump/21026596
26,3,True,"EMPIRE OF THE SUN, BLOND:ISH",EMPIRE OF THE SUN | BLOND:ISH,2,Walking On A Dream,DANCE / POP,8211,133,https://www.beatport.com/track/walking-on-a-dream/20832384
27,0,False,"JOCELYN BROWN, LUKE ALESSI, CHLOé CAILLET",JOCELYN BROWN | LUKE ALESSI | CHLOé CAILLET,3,The One,HOUSE,8097,125,https://www.beatport.com/track/the-one/20307568
28,0,False,MAU P,MAU P,1,The Less I Know The Better,TECH HOUSE,7838,139,https://www.beatport.com/track/the-less-i-know-the-better/20085129
29,2,True,FEZZO,FEZZO,1,Kids,DANCE / POP,7786,84,https://www.beatport.com/track/kids/22448219
30,3,True,"KURD MAVERICK, HUGEL",KURD MAVERICK | HUGEL,2,PYHU (Put Your Hands Up),AFRO HOUSE,7590,119,https://www.beatport.com/track/pyhu-put-your-hands-up/20969830
31,3,True,"SHAKEDOWN, LAYTON GIORDANI, ANYMA (OFC)",SHAKEDOWN | LAYTON GIORDANI | ANYMA (OFC),3,At Night (Anyma x Layton Giordani Extended Remix),MELODIC HOUSE & TECHNO,7542,123,https://www.beatport.com/track/at-night/20661162
32,3,True,JULIAN FIJMA,JULIAN FIJMA,1,Get Stupid,MINIMAL / DEEP TECH,7539,124,https://www.beatport.com/track/get-stupid/20889654
33,3,True,"BOBBY SHMURDA, SIDEPIECE",BOBBY SHMURDA | SIDEPIECE,2,Cash Out,TECH HOUSE,7506,134,https://www.beatport.com/track/cash-out/20566956
34,0,False,RÜFÜS DU SOL,RÜFÜS DU SOL,1,In the Moment (Adriatique Extended Remix),MELODIC HOUSE & TECHNO,7498,155,https://www.beatport.com/track/in-the-moment/20327131
